O'Hare, Blue Line, O'Hare, 01984-09-03-0000, Underground
Rosemont, Blue Line, Rosemont, 01983-02-27-0000, Expressway median
Cumberland, Blue Line, O'Hare, 01983-02-27-0000, Expressway median
Harlem, Blue Line, Norwood Park, 01983-02-27-0000, Expressway median
Jefferson Park, Blue Line, Jefferson Park, 01970-02-01-0000, Expressway median
Montrose, Blue Line, Irving Park, 01970-02-01-0000, Expressway median
Irving Park, Blue Line, Irving Park, 01970-02-01-0000, Expressway median
Addison, Blue Line, Avondale, 01970-02-01-0000, Expressway median
Belmont, Blue Line, Avondale, 01970-02-01-0000, Underground
Logan Square, Blue Line, Logan Square, 01895-05-25-0000, Underground
California, Blue Line, Logan Square, 01895-05-25-0000, Elevated
Western, Blue Line, Logan Square, 01895-05-25-0000, Elevated
Damen, Blue Line, Wicker Park, 01895-05-06-0000, Elevated
Division, Blue Line, Wicker Park, 01951-02-25-0000, Underground
Chicago, Blue Line, West Town, 01951-02-25-0000, Underground
Grand, Blue Line, West Town, 01951-02-25-0000, Underground
Clark/Lake, Blue Line, The Loop, 01951-02-25-0000, Underground
Washington, Blue Line, The Loop, 01951-02-25-0000, Underground
Monroe, Blue Line, The Loop, 01951-02-25-0000, Underground
Jackson, Blue Line, The Loop, 01951-02-25-0000, Underground
LaSalle, Blue Line, The Loop, 01951-02-25-0000, Underground
Clinton, Blue Line, Near West Side, 01958-06-22-0000, Underground
UIC–Halsted, Blue Line, Greektown, 01958-06-22-0000, Expressway median
Racine, Blue Line, Near West Side, 01958-06-22-0000, Expressway median
Illinois Medical District, Blue Line, Near West Side, 01958-06-22-0000, Expressway median
Western, Blue Line, Near West Side, 01958-06-22-0000, Expressway median
Kedzie–Homan, Blue Line, East Garfield Park, 01958-06-22-0000, Expressway median
Pulaski, Blue Line, West Garfield Park, 01958-06-22-0000, Expressway median
Cicero, Blue Line, Austin, 01958-06-22-0000, Expressway median
Austin, Blue Line, Oak Park, 01960-03-20-0000, Expressway median
Oak Park, Blue Line, Oak Park, 01960-03-20-0000, Expressway median
Harlem, Blue Line, Forest Park, 01960-03-20-0000, Expressway median
Forest Park, Blue Line, Forest Park, 01905-03-11-0000, Elevated
Kimball, Brown Line, Albany Park, 01907-12-14-0000, Ground level
Kedzie, Brown Line, Albany Park, 01907-12-14-0000, Ground level
Francisco, Brown Line, Albany Park, 01907-12-14-0000, Ground level
Rockwell, Brown Line, Lincoln Square, 01907-12-14-0000, Ground level
Western, Brown Line, Lincoln Square, 01907-05-18-0000, Elevated
Damen, Brown Line, Ravenswood, 01907-05-18-0000, Elevated
Montrose, Brown Line, Ravenswood, 01907-05-18-0000, Elevated
Irving Park, Brown Line, North Center, 01907-05-18-0000, Elevated
Addison, Brown Line, North Center, 01907-05-18-0000, Elevated
Paulina, Brown Line, Roscoe Village, 01907-05-18-0000, Elevated
Southport, Brown Line, Lake View, 01907-05-18-0000, Elevated
Belmont, Red Line, Lake View, 01900-05-31-0000, Elevated
Wellington, Brown Line, Lake View, 01900-05-31-0000, Elevated
Diversey, Brown Line, Lincoln Park, 01900-06-09-0000, Elevated
Fullerton, Red Line, Lincoln Park, 01900-05-31-0000, Elevated
Armitage, Brown Line, Lincoln Park, 01900-06-09-0000, Elevated
Sedgwick, Brown Line, Old Town, 01900-05-31-0000, Elevated
Chicago, Brown Line, Near North Side, 01900-05-31-0000, Elevated
Merchandise Mart, Brown Line, Near North Side, 01930-12-05-0000, Elevated
Washington/Wells, Pink Line, The Loop, 01995-07-17-0000, Elevated
Quincy, Pink Line, The Loop, 01897-10-03-0000, Elevated
LaSalle/Van Buren, Pink Line, The Loop, 01897-10-03-0000, Elevated
Harold Washington Library – State/Van Buren, Pink Line, The Loop, 01997-06-22-0000, Elevated
Adams/Wabash, Green Line, The Loop, 01896-11-08-0000, Elevated
Randolph/Wabash, Green Line, The Loop, 01896-11-08-0000, Elevated
State/Lake, Green Line, The Loop, 01895-09-22-0000, Elevated
Clark/Lake, Green Line, The Loop, 01895-09-22-0000, Elevated
Harlem, Green Line, Oak Park, 01962-10-28-0000, Elevated
Oak Park, Green Line, Oak Park, 01901-01-25-0000, Elevated
Ridgeland, Green Line, Oak Park, 01901-01-25-0000, Elevated
Austin, Green Line, Austin, 01899-04-15-0000, Elevated
Central, Green Line, Austin, 01899-04-15-0000, Elevated
Laramie, Green Line, Austin, 01894-04-23-0000, Elevated
Cicero, Green Line, Austin, 01894-03-03-0000, Elevated
Pulaski, Green Line, West Garfield Park, 01894-03-01-0000, Elevated
Conservatory–Central Park Drive, Green Line, East Garfield Park, 02001-06-30-0000, Elevated
Kedzie, Green Line, East Garfield Park, 01893-11-06-0000, Elevated
California, Green Line, East Garfield Park, 01893-11-06-0000, Elevated
Ashland, Green Line, Near West Side, 01893-11-06-0000, Elevated
Morgan, Green Line, Near West Side, 01893-11-06-0000, Elevated
