Congress Terminal, South Side Main Line, The Loop, 01892-06-06-0000, 01949-08-01-0000, Demolished
Congress/Wabash, South Side Main Line, The Loop, 01897-10-18-0000, 01949-08-01-0000, Demolished
18th, South Side Main Line, Near South Side, 01892-06-06-0000, 01949-08-01-0000, Demolished
26th, South Side Main Line, Near South Side, 01892-06-06-0000, 01949-08-01-0000, Demolished
29th, South Side Main Line, Douglas, 01892-06-06-0000, 01949-08-01-0000, Demolished
31st, South Side Main Line, Douglas, 01892-06-06-0000, 01949-08-01-0000, Demolished
33rd, South Side Main Line, Douglas, 01892-06-06-0000, 01949-08-01-0000, Demolished
Pershing, South Side Main Line, Douglas, 01892-06-06-0000, 01949-08-01-0000, Demolished
58th, South Side Main Line, Washington Park, 01893-01-22-0000, 01994-01-09-0000, Demolished
61st, Jackson Park, Washington Park, 01893-01-22-0000, 01994-01-09-0000, Demolished
University, Jackson Park, Woodlawn, 01893-04-23-0000, 01994-01-09-0000, Demolished
Dorchester, Jackson Park, Woodlawn, 01893-04-23-0000, 01973-01-13-0000, Demolished
Jackson Park (Stony Island), Jackson Park, Woodlawn, 01893-05-12-0000, 01982-03-04-0000, Demolished
Jackson Park, Jackson Park, Columbian Exposition fairgrounds, 01893-05-12-0000, 01893-10-31-0000, Demolished
State, Englewood, Washington Park, 01905-11-03-0000, 01973-09-02-0000, Demolished
Wentworth, Englewood, Englewood, 01905-12-10-0000, 01992-02-09-0000, Partially demolished
Princeton, Englewood, Englewood, 01905-12-10-0000, 01949-07-31-0000, Demolished
Harvard, Englewood, Englewood, 01906-11-03-0000, 01992-02-09-0000, Demolished
Parnell, Englewood, Englewood, 01906-12-24-0000, 01949-07-31-0000, Demolished
Racine, Englewood, Englewood, 01907-02-25-0000, 01994-01-09-0000, Closed
Loomis, Englewood, Englewood, 01907-07-13-0000, 01969-01-01-0000, Demolished
65th, Normal Park, Englewood, 01907-05-26-0000, 01954-01-29-0000, Demolished
Marquette Road, Normal Park, Englewood, 01907-05-26-0000, 01954-01-29-0000, Demolished
69th, Normal Park, Englewood, 01907-05-26-0000, 01954-01-29-0000, Demolished
South Parkway, Kenwood, Kenwood, 01907-09-20-0000, 01957-12-01-0000, Partially demolished
Vincennes, Kenwood, Kenwood, 01907-09-20-0000, 01957-12-01-0000, Partially demolished
Cottage Grove/Drexel, Kenwood, Kenwood, 01907-09-20-0000, 01957-12-01-0000, Demolished
Ellis/Lake Park, Kenwood, Kenwood, 01907-09-20-0000, 01957-12-01-0000, Partially demolished
42nd Place, Kenwood, Kenwood, 01907-09-20-0000, 01957-12-01-0000, Demolished
Wallace, Stock Yards, New City, 01908-04-08-0000, 01952-05-03-0000, Demolished
Halsted, Stock Yards, New City, 01908-04-08-0000, 01957-10-07-0000, Demolished
Exchange, Stock Yards, Union Stock Yards, 01908-04-08-0000, 01957-10-07-0000, Demolished
Racine, Stock Yards, Union Stock Yards, 01908-04-08-0000, 01957-10-07-0000, Demolished
Swift, Stock Yards, Union Stock Yards, 01908-04-08-0000, 01957-10-07-0000, Demolished
Packers, Stock Yards, Union Stock Yards, 01908-04-08-0000, 01957-10-07-0000, Demolished
Armour, Stock Yards, Union Stock Yards, 01908-04-08-0000, 01957-10-07-0000, Demolished
Market Terminal, Market, The Loop, 01893-11-06-0000, 01948-04-04-0000, Demolished
Randolph/Market, Market, The Loop, 01893-11-01-0000, 01948-04-04-0000, Demolished
Canal, Lake Street, The Loop, 01893-11-06-0000, 01909-10-16-0000, Demolished
Halsted, Lake Street, Near West Side, 01893-11-06-0000, 01994-01-09-0000, Demolished
Racine, Lake Street, Near West Side, 01893-11-06-0000, 01948-04-04-0000, Demolished
Loomis, Lake Street, Near West Side, 01893-11-06-0000, 01954-04-04-0000, Demolished
Wood, Lake Street, Near West Side, 01893-11-06-0000, 01913-11-01-0000, Demolished
Damen, Lake Street, Near West Side, 01893-11-06-0000, 01948-04-04-0000, Demolished
Oakley, Lake Street, Near West Side, circa 1893-94, 01948-04-04-0000, Demolished
Campbell, Lake Street, Near West Side, 01893-11-06-0000, 01948-04-04-0000, Demolished
Sacramento, Lake Street, East Garfield Park, 01894-03-01-0000, 01948-04-04-0000, Demolished
Homan, Lake Street, East Garfield Park, 01893-11-06-0000, 01994-01-09-0000, Relocated
Hamlin, Lake Street, West Garfield Park, 01894-01-01-0000, 01956-03-18-0000, Demolished
Kostner, Lake Street, West Garfield Park, 01894-03-01-0000, 01948-04-04-0000, Demolished
Menard, Lake Street, Austin, 01899-04-15-0000, 01948-04-04-0000, Demolished
Lombard, Lake Street, Oak Park, 01901-01-25-0000, 01948-04-04-0000, Demolished
Marion, Lake Street, Oak Park, 01901-01-25-0000, 01962-10-28-0000, Demolished
Forest Park, Lake Street, Forest Park, 01910-05-20-0000, 01962-01-01-0000, Demolished
Lombard &amp; Randolph, Randolph Street, Oak Park, 01899-05-14-0000, 01904-01-07-0000, Demolished
East &amp; Randolph, Randolph Street, Oak Park, 01899-05-14-0000, 01904-01-07-0000, Demolished
Oak Park &amp; Randolph, Randolph Street, Oak Park, 01899-05-14-0000, 01904-01-07-0000, Demolished
